Date;Product_Category;Extraction_Time
03.04.2020 10:25;Ristretto;7.22
03.04.2020 10:21;Ristretto;10.93
03.04.2020 10:04;Tea;0
03.04.2020 10:04;Tea;0
03.04.2020 09:58;Coffee;14.49
03.04.2020 09:48;Coffee;15.03
03.04.2020 09:40;Coffee;18.71
03.04.2020 09:39;Cappuccino (Time Optimized);11.76
03.04.2020 09:38;Coffee;23.05
03.04.2020 09:19;Espresso;13.56
03.04.2020 09:06;Espresso;20.55
03.04.2020 09:03;Cappuccino (Time Optimized);12.27
03.04.2020 09:02;Cappuccino (Time Optimized);10.74
03.04.2020 09:01;Milk;0
03.04.2020 09:00;Espresso;20.7
03.04.2020 08:53;Espresso;16.73
03.04.2020 08:52;Cappuccino (Time Optimized);15.52
03.04.2020 08:52;Espresso;20.62
03.04.2020 08:51;Coffee;21.89
03.04.2020 08:50;Cappuccino (Time Optimized);13.59
03.04.2020 08:46;Ristretto;9.43
03.04.2020 08:41;Cappuccino (Time Optimized);11.81
03.04.2020 08:39;Ristretto;10.95
03.04.2020 08:25;Espresso;13.85
03.04.2020 08:03;Espresso;14.37
03.04.2020 07:32;Coffee;26.27
03.04.2020 07:28;Espresso;15.15
03.04.2020 07:27;Espresso;14.37
03.04.2020 07:25;Tea;0
03.04.2020 07:25;Tea;0
03.04.2020 06:54;Espresso;18.06
03.04.2020 06:35;Milk;0
03.04.2020 06:35;Coffee;23.92
03.04.2020 06:33;Espresso;11.28
03.04.2020 06:29;Espresso;12.13
03.04.2020 06:07;Coffee;17.49
03.04.2020 06:07;Coffee;0
03.04.2020 05:52;Espresso;12.93
02.04.2020 15:58;Coffee;18.63
02.04.2020 15:58;Coffee;18.85
02.04.2020 15:43;_Cleaning;0
02.04.2020 15:12;Coffee;22.98
02.04.2020 15:02;Espresso;17.72
02.04.2020 14:49;Cappuccino (Time Optimized);13.09
02.04.2020 14:46;Espresso;14.11
02.04.2020 14:39;Coffee;0
02.04.2020 13:23;Ristretto;8.28
02.04.2020 13:19;Espresso;13.97
02.04.2020 12:49;Tea;0
02.04.2020 12:48;Tea;0
02.04.2020 12:38;Espresso;17.13
02.04.2020 12:36;Espresso Macchiato;12.98
02.04.2020 12:35;Espresso;19.77
02.04.2020 12:20;Espresso;15.55
02.04.2020 12:16;Espresso;16.27
02.04.2020 12:13;Coffee;23.65
02.04.2020 12:12;Espresso;19.81
02.04.2020 12:12;Milk Coffee (Time Optimized);15.92
02.04.2020 12:11;Espresso;12.6
02.04.2020 11:33;Espresso;14.03
02.04.2020 11:22;Latte Macchiato;10.62
02.04.2020 09:36;Milk Foam;0
02.04.2020 09:34;Espresso;11.91
02.04.2020 09:18;Espresso;13.51
02.04.2020 09:17;Milk Coffee (Time Optimized);12.43
02.04.2020 09:15;Espresso;20.29
02.04.2020 09:14;Espresso;21.04
02.04.2020 09:13;Coffee;0
02.04.2020 09:12;Cappuccino (Time Optimized);13.4
02.04.2020 09:08;Espresso;21.47
02.04.2020 09:05;Espresso;25.02
02.04.2020 09:04;Cappuccino (Time Optimized);13.09
02.04.2020 09:03;Espresso;16.1
02.04.2020 09:00;Milk Coffee (Time Optimized);10.51
02.04.2020 08:49;Coffee;23.47
02.04.2020 08:48;Espresso;21.44
02.04.2020 08:47;Milk;0
02.04.2020 08:47;Coffee;20.68
02.04.2020 08:46;Cappuccino (Time Optimized);13.64
02.04.2020 08:41;Espresso;13.16
02.04.2020 08:40;Coffee;24.37
02.04.2020 08:24;Espresso;11.89
02.04.2020 07:56;Ristretto;7.5
02.04.2020 07:34;Espresso;13.88
02.04.2020 07:15;Ristretto;9.13
02.04.2020 07:15;Espresso;12.34
02.04.2020 07:08;Coffee;17.23
02.04.2020 07:04;Coffee;20.55
02.04.2020 06:54;Espresso;16.39
02.04.2020 06:49;Tea;0
02.04.2020 06:48;Tea;0
02.04.2020 06:48;Espresso;14.2
02.04.2020 06:38;Espresso;11
02.04.2020 06:31;Coffee;22.24
02.04.2020 06:17;Espresso;12.41
02.04.2020 05:59;Milk Foam;0
02.04.2020 05:59;Milk;0
02.04.2020 05:58;Coffee;22.26
02.04.2020 05:58;Milk Coffee (Time Optimized);0
02.04.2020 05:57;Milk Coffee (Time Optimized);0
02.04.2020 05:56;Tea;0
02.04.2020 05:50;Tea;0
02.04.2020 05:50;Tea;0
01.04.2020 16:51;Espresso;17.88
01.04.2020 16:03;Tea;0
01.04.2020 16:03;Tea;0
01.04.2020 15:50;_Cleaning;0
01.04.2020 15:10;Espresso;17.16
01.04.2020 14:59;Cappuccino (Time Optimized);14.64
01.04.2020 14:57;Espresso;18.05
01.04.2020 14:53;Coffee;0
01.04.2020 14:49;Espresso;24.25
01.04.2020 14:48;Espresso;24.33
01.04.2020 14:21;Ristretto;9.97
01.04.2020 14:20;Ristretto;11.16
01.04.2020 13:59;Cappuccino (Time Optimized);12.16
01.04.2020 13:58;Milk Foam;0
