Date;Product Name;Product Category
03.04.2020 10:25;Ristretto (Grinder 1, Small);Ristretto
03.04.2020 10:21;Ristretto (Grinder 1, Small);Ristretto
03.04.2020 10:04;Tee (Small);Tea
03.04.2020 10:04;Tee (Small);Tea
03.04.2020 09:58;Kaffee (Grinder 2, Small);Coffee
03.04.2020 09:48;Kaffee (Grinder 2, Small);Coffee
03.04.2020 09:40;Kaffee (Grinder 2, Small);Coffee
03.04.2020 09:39;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
03.04.2020 09:38;Kaffee (Grinder 2, Small);Coffee
03.04.2020 09:19;Espresso (Grinder 1, Small);Espresso
03.04.2020 09:06;Double Espresso (Grinder 1, Small);Espresso
03.04.2020 09:03;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
03.04.2020 09:02;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
03.04.2020 09:01;Milch (Milk 1, Small);Milk
03.04.2020 09:00;Double Espresso (Grinder 1, Small);Espresso
03.04.2020 08:53;Espresso (Grinder 1, Small);Espresso
03.04.2020 08:52;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
03.04.2020 08:52;Double Espresso (Grinder 1, Small);Espresso
03.04.2020 08:51;Kaffee (Grinder 2, Small);Coffee
03.04.2020 08:50;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
03.04.2020 08:46;Ristretto (Grinder 1, Small);Ristretto
03.04.2020 08:41;Cappuccino  (Grinder 1, Milk 1, Small);Cappuccino (Time Optimized)
03.04.2020 08:39;Ristretto (Grinder 1, Small);Ristretto
03.04.2020 08:25;Espresso (Grinder 1, Small);Espresso
03.04.2020 08:03;Espresso (Grinder 1, Small);Espresso
03.04.2020 07:32;Kaffee (Grinder 2, Small);Coffee
03.04.2020 07:28;Espresso (Grinder 1, Small);Espresso
03.04.2020 07:27;Espresso (Grinder 1, Small);Espresso
03.04.2020 07:25;Tee (Small);Tea
03.04.2020 07:25;Tee (Small);Tea
03.04.2020 06:54;Double Espresso (Grinder 1, Small);Espresso
03.04.2020 06:35;Milch (Milk 1, Small);Milk
03.04.2020 06:35;Kaffee (Grinder 2, Small);Coffee
03.04.2020 06:33;Espresso (Grinder 1, Small);Espresso
